,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
200902월,159.5,200502월,"2,022",,200808월,184.48,,201209월,574.53,,201106월,117,160,187,167,151,100,-,-,-,-,-,-,-
200903월,178.7,200503월,"2,055",,200809월,183.15,,201210월,547.45,,201107월,119,150,178,167,162,93,-,-,-,-,-,-,-
200904월,203.3,200504월,"2,064",,200810월,145.6,,201211월,557.94,,201108월,139,167,196,167,180,120,-,-,-,-,-,-,-
200905월,212.7,200505월,"2,061",,200811월,138.26,,201212월,579.98,,201109월,199,242,233,167,251,195,-,-,-,-,-,-,-
200906월,216.9,200506월,"2,050",,200812월,143.3,,201301월,565.78,,201110월,144,167,174,167,206,121,-,-,-,-,-,-,-
200907월,254.3,200507월,"2,057",,200901월,148.27,,201302월,588.27,,201111월,153,174,179,167,203,130,-,-,-,-,-,-,-
200908월,263.3,200508월,"2,067",,200902월,135.23,,201303월,578.08,,201112월,165,171,178,167,207,144,-,-,-,-,-,-,-
200909월,286.4,200509월,"2,067",,200903월,154.53,,201304월,558.18,,201201월,162,169,189,167,181,144,-,-,-,-,-,-,-
200910월,273.1,200510월,"2,073",,200904월,174.37,,201305월,575.13,,201202월,144,162,173,167,175,127,-,-,-,-,-,-,-
200911월,273.7,200511월,"2,082",,200905월,177.05,,201306월,533.83,,201203월,131,148,161,-,160,119,-,-,-,-,-,-,-
200912월,296.8,200512월,"2,104",,200906월,177.46,,201307월,544.38,,201204월,112,134,139,-,144,109,-,-,-,-,-,-,-
201001월,281.9,200601월,"2,169",,200907월,202.19,,201308월,558.18,,201205월,110,135,136,-,142,119,-,-,-,-,-,-,-
201002월,277.6,200602월,"2,160",,200908월,207.52,,201309월,576.98,,201206월,102,126,129,-,145,128,-,-,-,-,-,-,-
201003월,300.8,200603월,"2,173",,200909월,219.64,,201310월,594.94,,201207월,96,111,113,-,128,105,-,-,-,-,-,-,-
201004월,315.8,200604월,"2,229",,200910월,205.92,,201311월,600.97,,201208월,81,98,101,-,111,50,-,-,-,-,-,-,-
201005월,294.4,200605월,"2,247",,200911월,204.41,,201312월,589.43,,201209월,76,85,86,-,84,60,-,-,-,-,-,-,-
201006월,301.9,200606월,"2,244",,200912월,222,,201401월,562.13,,201210월,70,74,75,-,59,39,-,-,-,-,-,-,-
201007월,316.6,200607월,"2,257",,201001월,210.35,,201402월,577.6,,201211월,65,70,72,-,52,25,-,-,-,-,-,-,-
201008월,311,200608월,"2,270",,201002월,208.01,,201403월,576.7,,201212월,63,71,72,-,46,35,-,-,-,-,-,-,-
201009월,335.6,200609월,"2,282",,201003월,221.81,,201404월,569.22,,201301월,-,65,65,-,74,124,-,-,-,-,-,-,-
201010월,340.4,200610월,"2,295",,201004월,228.57,,201405월,583.2,,201302월,-,60,64,-,75,122,-,-,-,-,-,-,-
201011월,351.1,200611월,"2,343",,201005월,214.46,,201406월,583.2,,201303월,-,70,72,-,80,124,-,-,-,-,-,-,-
201012월,386.2,200612월,"2,390",,201006월,220.72,,201407월,603.12,,201304월,-,79,82,-,91,126,-,-,-,-,-,-,-
201101월,387.8,200701월,"2,402",,201007월,230.01,,201408월,590.2,,201305월,-,83,83,-,100,123,-,-,-,-,-,-,-
201102월,363.6,200702월,"2,428",,201008월,227.36,,201409월,563.85,,201306월,-,80,84,-,110,160,-,-,-,-,-,-,-
201103월,395.2,200703월,"2,439",,201009월,243.19,,201410월,553.03,,201307월,-,73,76,-,119,143,-,-,-,-,-,-,-
201104월,411.8,200704월,"2,473",,201010월,242.82,,201411월,558.73,,201308월,-,57,59,-,125,134,-,-,-,-,-,-,-
201105월,401.7,200705월,"2,507",,201011월,250.49,,201412월,536.46,,201309월,-,49,55,-,117,114,-,-,-,-,-,-,-
201106월,392.3,200706월,"2,507",,201012월,273.61,,201501월,546.17,,201310월,-,40,43,-,116,97,77,-,-,-,-,-,-
201107월,398.3,200707월,"2,548",,201101월,276.44,,201502월,550.24,,201311월,-,29,33,-,95,94,70,-,-,-,-,-,-
201108월,349.8,200708월,"2,553",,201102월,259.82,,201503월,563.21,,201312월,-,21,29,-,97,92,69,-,-,-,-,-,-
201109월,338.8,200709월,"2,573",,201103월,282.71,,201504월,580.38,,201401월,-,-,-,-,83,97,78,-,-,-,-,-,-
201110월,367.1,200710월,"2,601",,201104월,293.82,,201505월,565.77,,201402월,-,-,-,-,76,82,72,-,-,-,-,-,-
201111월,354.6,200711월,"2,619",,201105월,285.79,,201506월,545.06,,201403월,-,-,-,-,68,59,58,-,-,-,-,-,-
201112월,350.9,200712월,"2,622",,201106월,277.58,,201507월,525.57,,201404월,-,-,-,-,64,58,53,-,-,-,-,-,-
201201월,379.7,200801월,"2,616",,201107월,279.58,,201508월,500.6,,201405월,-,-,-,-,55,51,50,-,-,-,-,-,-
201202월,395.5,200802월,"2,624",,201108월,244.97,,201509월,510.49,,201406월,-,-,-,-,44,39,37,-,-,-,-,-,-
201203월,400.6,200803월,"2,642",,201109월,234.76,,201510월,546.39,,201407월,-,-,-,-,50,35,39,-,-,-,-,40,-
201204월,402.1,200804월,"2,605",,201110월,254.25,,201511월,535.54,,201408월,-,-,-,-,40,38,38,-,-,-,-,40,-
201205월,367.8,200805월,"2,582",,201111월,246.12,,201512월,526.86,,201409월,-,-,-,-,35,40,44,-,-,-,-,41,-
201206월,369.4,200806월,"2,518",,201112월,243.69,,201601월,508.22,,201410월,-,-,-,-,36,41,42,-,-,-,-,39,-
201207월,379.6,200807월,"2,475",,201201월,262.75,,201602월,511.24,,201411월,-,-,-,-,35,40,43,-,-,-,-,41,-
201208월,383.5,200808월,"2,432",,201202월,274.37,,201603월,538.62,,201412월,-,-,-,-,-,43,48,-,-,-,-,45,-
201209월,405.4,200809월,"2,397",,201203월,274.54,,201604월,534.26,,201501월,-,-,-,-,-,40,50,-,-,-,-,55,-
201210월,387.4,200810월,"2,123",,201204월,273.97,,201605월,532.61,,201502월,-,-,-,-,-,38,48,-,-,-,-,53,-
201211월,393.3,200811월,"2,005",,201205월,253.79,,201606월,535.37,,201503월,-,-,-,-,-,38,47,-,-,-,-,47,-
201212월,410.2,200812월,"2,012",,201206월,253.4,,201607월,552.5,,201504월,-,-,-,-,-,35,47,-,-,-,-,45,-
201301월,401.9,200901월,"2,017",,201207월,259.45,,201608월,567.46,,201505월,-,-,-,-,-,34,46,-,-,-,-,47,-
201302월,420.5,200902월,"2,015",,201208월,258.97,,201609월,568.16,,201506월,-,-,-,-,-,34,46,-,-,-,-,47,-
201303월,412.2,200903월,"2,063",,201209월,271.31,,201610월,568.74,,201507월,-,-,-,-,-,33,48,-,-,-,-,44,-
201304월,399.3,200904월,"2,124",,201210월,258.63,,201611월,565.95,,201508월,-,-,-,-,-,37,54,-,-,-,-,47,-
201305월,413.7,200905월,"2,268",,201211월,263.43,,201612월,580.57,,201509월,-,-,-,-,-,43,57,-,-,-,-,47,-
201306월,377.9,200906월,"2,317",,201212월,274.67,,201701월,601.46,,201510월,-,-,-,-,-,35,52,-,-,-,-,41,-
201307월,385.3,200907월,"2,375",,201301월,267.97,,201702월,602.88,,201511월,-,-,-,-,-,33,45,-,-,-,-,38,-
201308월,396.6,200908월,"2,455",,201302월,278.42,,201703월,627.13,,201512월,-,-,-,-,-,29,43,-,-,-,-,37,-
201309월,416.8,200909월,"2,542",,201303월,272.75,,201704월,644.51,,201601월,-,-,-,-,-,96,46,-,-,-,-,40,-
201310월,437.3,200910월,"2,642",,201304월,263.36,,201705월,685.16,,201602월,-,-,-,-,-,99,43,-,-,-,-,41,-
201311월,442.4,200911월,"2,709",,201305월,270.08,,201706월,705.91,,201603월,-,-,-,-,-,97,38,-,-,-,-,34,-
201312월,430.6,200912월,"2,700",,201306월,251.1,,201707월,712.48,,201604월,-,-,-,-,-,87,33,-,-,-,-,20,-
201401월,412.5,201001월,"2,737",,201307월,257.24,,201708월,700.05,,201605월,-,-,-,-,-,70,23,-,-,-,-,14,-
201402월,425.2,201002월,"2,707",,201308월,262.48,,201709월,725.1,,201606월,-,-,-,-,-,67,25,-,-,-,-,18,-
201403월,424.6,201003월,"2,723",,201309월,272,,201710월,768.88,,201607월,-,-,-,-,-,63,22,-,-,-,-,18,-
201404월,424.2,201004월,"2,789",,201310월,278.81,,201711월,746.85,,201608월,-,-,-,-,-,61,19,-,-,-,-,12,-
201405월,436.9,201005월,"2,702",,201311월,281.42,,201712월,748.78,,201609월,-,-,-,-,-,58,21,-,-,-,-,13,-
201406월,437.2,201006월,"2,742",,201312월,275.8,,201801월,773.59,,201610월,-,-,-,-,-,57,19,-,-,-,-,14,-
201407월,459.5,201007월,"2,860",,201401월,263.31,,201802월,733,,201611월,-,-,-,-,-,55,25,-,-,-,-,21,-
201408월,455.1,201008월,"2,854",,201402월,269.11,,201803월,738.41,,201612월,-,-,-,-,-,54,25,-,-,-,-,24,-
201409월,437.2,201009월,"2,898",,201403월,268.67,,201804월,760.23,,201701월,-,-,-,-,-,60,73,-,55,-,-,25,-
201410월,430.1,201010월,"2,933",,201404월,265.4,,201805월,727.06,,201702월,-,-,-,-,-,60,74,-,53,-,-,25,-
201411월,438,201011월,"2,902",,201405월,271.06,,201806월,699.61,,201703월,-,-,-,-,-,65,74,-,55,-,-,24,-
201412월,422.3,201012월,"2,916",,201406월,271.72,,201807월,691.44,,201704월,-,-,-,-,-,66,78,-,66,-,-,30,-
201501월,433.5,201101월,"2,960",,201407월,281.76,,201808월,700.89,,201705월,-,-,-,-,-,68,81,-,67,-,-,34,-
201502월,436.8,201102월,"2,977",,201408월,277.04,,201809월,699.73,,201706월,-,-,-,-,-,67,82,-,68,-,-,28,-
201503월,451.3,201103월,"2,986",,201409월,266.91,,201810월,615.76,,201707월,-,-,-,-,-,63,78,-,69,-,-,30,-
201504월,470.3,201104월,"3,072",,201410월,260.08,,201811월,626.01,,201708월,-,-,-,-,-,64,82,-,74,-,-,28,-
201505월,461.4,201105월,"3,051",,201411월,262.26,,201812월,604.06,,201709월,-,-,-,-,-,74,83,-,81,-,-,40,-
201506월,444.6,201106월,"3,045",,201412월,251.17,,201901월,664.16,,201710월,-,-,-,-,-,67,80,-,67,-,-,44,-
201507월,430.2,201107월,"3,110",,201501월,255.67,,201902월,658.19,,201711월,-,-,-,-,-,69,79,-,61,-,-,53,-
